date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-06-18,8069,元太,200.0,211.5,200.0,204.0,11030,0,828,-3,53,0.0,0.0,0.0,空
2026-06-18,8070,長華*,54.5,56.4,54.2,55.0,5728,0,-594,-9,22,0.0,0.0,0.0,空
2026-06-18,8071,能率網通,29.45,29.8,28.4,29.4,4774,0,86,0,0,0.0,0.0,0.0,多
2026-06-18,8072,陞泰,29.2,29.9,29.05,29.4,411,0,34,0,-4,0.0,0.0,0.0,多
2026-06-18,8074,鉅橡,75.2,75.8,73.7,73.9,1447,0,-118,0,-27,0.0,0.0,0.0,多
2026-06-18,8076,伍豐,25.8,26.25,25.45,25.75,1644,0,178,0,3,0.0,0.0,0.0,空
2026-06-18,8077,洛碁,50.8,50.8,49.95,49.95,3,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8080,永利聯合,28.0,28.95,27.95,28.8,29,0,2,0,0,0.0,0.0,0.0,多
2026-06-18,8080,泰霖,28.0,28.95,27.95,28.8,29,0,2,0,0,0.0,0.0,0.0,多
2026-06-18,8081,致新,295.0,322.0,295.0,319.0,3983,0,18,71,66,0.0,0.0,0.0,多
2026-06-18,8083,瑞穎,171.5,172.5,171.0,172.0,78,0,3,0,0,0.0,0.0,0.0,多
2026-06-18,8084,巨虹,45.65,47.6,45.0,47.2,148,0,61,0,0,0.0,0.0,0.0,空
2026-06-18,8085,福華,13.35,13.5,12.85,12.9,378,0,-132,0,0,0.0,0.0,0.0,空
2026-06-18,8086,宏捷科,162.5,170.5,161.5,166.0,7786,0,1656,0,51,0.0,0.0,0.0,多
2026-06-18,8087,華鎂鑫,33.25,33.35,33.0,33.1,65,0,-11,0,0,0.0,0.0,0.0,空
2026-06-18,8087,麗升能源,33.25,33.35,33.0,33.1,65,0,-11,0,0,0.0,0.0,0.0,空
2026-06-18,8088,品安,66.0,69.9,65.5,69.2,18164,0,-1920,0,0,0.0,0.0,0.0,多
2026-06-18,8089,康全電訊,22.3,22.3,20.95,21.15,555,0,-157,0,0,0.0,0.0,0.0,多
2026-06-18,8091,翔名,260.0,285.0,253.0,281.0,2841,0,-287,0,47,0.0,0.0,0.0,空
2026-06-18,8092,建暐,14.9,14.9,14.6,14.7,25,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8093,保銳,19.1,19.3,19.1,19.3,28,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,8096,擎亞,150.0,156.5,147.5,155.5,9766,0,-149,0,59,0.0,0.0,0.0,多
2026-06-18,8097,常珵,58.0,60.7,58.0,60.3,112,0,35,0,0,0.0,0.0,0.0,空
2026-06-18,8098,慶康科技,363.76,380.5,364.5,380.0,40,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,8099,大世科,59.6,60.3,59.6,60.2,63,0,-12,0,0,0.0,0.0,0.0,空
2026-06-18,8101,華冠,14.2,14.45,14.2,14.45,4,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8102,傑霖科技,69.1,72.0,69.1,71.9,43,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,8103,瀚荃,95.0,97.7,94.8,97.1,928,0,26,0,20,0.0,0.0,0.0,空
2026-06-18,8104,錸寶,42.5,43.15,41.4,42.35,7310,0,-725,0,1,0.0,0.0,0.0,空
2026-06-18,8105,凌巨,21.6,22.2,21.3,21.9,16220,0,4156,0,11,0.0,0.0,0.0,多
2026-06-18,8107,大億金茂,12.1,12.2,12.05,12.1,76,0,3,0,0,0.0,0.0,0.0,空
2026-06-18,8109,博大,118.0,123.5,118.0,123.0,364,0,119,-2,0,0.0,0.0,0.0,空
2026-06-18,8110,華東,58.5,60.2,58.2,59.2,15164,0,45,0,-221,0.0,0.0,0.0,空
2026-06-18,8111,立碁,54.7,56.9,54.7,56.2,1445,0,-107,0,56,0.0,0.0,0.0,空
2026-06-18,8112,至上,97.5,99.0,97.2,98.2,16490,0,2706,1,-37,0.0,0.0,0.0,多
2026-06-18,8114,振樺電,212.0,214.0,209.5,212.0,605,0,-114,0,-1,0.0,0.0,0.0,空
2026-06-18,8119,公信,10.08,10.5,9.95,9.96,70,0,3,0,0,0.0,0.0,0.0,空
2026-06-18,8121,越峰,51.9,54.6,48.7,53.4,5986,0,346,0,0,0.0,0.0,0.0,多
2026-06-18,8131,福懋科,75.5,77.0,74.7,75.9,6206,0,239,-1,276,0.0,0.0,0.0,多
2026-06-18,8147,正淩,147.0,150.0,146.5,146.5,285,0,-9,0,0,0.0,0.0,0.0,空
2026-06-18,8150,南茂,95.5,104.0,95.1,104.0,73251,0,15843,326,1098,0.0,0.0,0.0,空
2026-06-18,8155,博智,413.5,413.5,403.5,404.5,1125,0,-224,0,0,0.0,0.0,0.0,多
2026-06-18,8162,微矽電子-創,72.9,79.5,72.9,78.4,1448,0,279,0,-5,0.0,0.0,0.0,空
2026-06-18,8163,達方,44.65,47.8,44.65,44.95,7719,0,129,0,12,0.0,0.0,0.0,多
2026-06-18,8171,天宇,21.8,22.1,21.4,21.55,242,0,-20,0,0,0.0,0.0,0.0,空
2026-06-18,8176,智捷,10.2,10.2,9.99,10.15,295,0,20,0,0,0.0,0.0,0.0,多
2026-06-18,8182,加高,51.0,53.1,50.5,51.0,3032,0,-93,0,-11,0.0,0.0,0.0,多
2026-06-18,8183,精星,32.75,32.95,32.55,32.55,323,0,-38,0,0,0.0,0.0,0.0,多
2026-06-18,8201,無敵,13.95,13.95,13.5,13.5,100,0,-12,0,0,0.0,0.0,0.0,空
2026-06-18,8210,勤誠,1385.0,1385.0,1345.0,1365.0,1146,0,300,-386,0,0.0,0.0,0.0,空
2026-06-18,8213,志超,36.95,37.4,36.65,37.2,602,0,199,0,1,0.0,0.0,0.0,空
2026-06-18,8215,明基材,32.05,33.15,31.15,31.15,9801,0,-749,5,-3,0.0,0.0,0.0,多
2026-06-18,8222,寶一,35.6,35.6,35.05,35.25,273,0,42,0,0,0.0,0.0,0.0,空
2026-06-18,8227,巨有科技,182.5,187.0,182.0,184.5,753,0,-133,0,17,0.0,0.0,0.0,空
2026-06-18,8234,新漢,63.4,64.6,63.1,63.6,385,0,-47,0,-6,0.0,0.0,0.0,空
2026-06-18,8240,華宏,56.6,57.5,56.3,56.9,468,0,42,0,-2,0.0,0.0,0.0,空
2026-06-18,8249,菱光,53.5,53.5,51.9,52.1,686,0,-67,0,0,0.0,0.0,0.0,空
2026-06-18,8255,朋程,191.5,195.0,191.5,195.0,2827,0,320,0,24,0.0,0.0,0.0,空
