date,stock_id,stock_name,open,high,low,close,volume,macd_status
2025-12-31,8087,華鎂鑫,31.9,32.5,31.4,31.95,9,-
2025-12-31,6629,泰金-KY,130.0,130.0,127.0,127.5,22,-
2025-12-31,4154,樂威科-KY,15.6,15.85,15.55,15.85,6,-
2025-12-31,8390,金益鼎,91.4,93.1,90.0,90.4,1599,-
2025-12-31,6624,萬年清,67.9,69.0,67.6,67.7,112,-
2025-12-31,8440,綠電,25.0,25.2,24.85,24.85,107,-
2025-12-31,3178,公準,63.2,65.6,60.5,60.8,1638,-
2025-12-31,3073,天方能源,30.85,31.35,30.5,30.6,114,-
2025-12-31,4702,中美實,9.95,10.0,9.87,9.88,37,-
2025-12-31,8924,大田,71.8,72.2,71.8,72.1,110,-
2025-12-31,6803,崑鼎,295.5,298.0,295.0,296.5,146,-
2025-12-31,1593,祺驊,29.15,29.15,29.0,29.05,16,-
2025-12-31,4609,唐鋒,6.37,6.41,6.37,6.41,2,-
2025-12-31,6804,明係,17.45,17.45,17.0,17.1,29,-
2025-12-31,3551,世禾,197.0,204.0,196.0,199.0,2284,-
2025-12-31,6123,上奇,48.1,48.1,47.85,48.0,35,-
2025-12-31,8476,台境,17.9,18.05,17.8,18.0,112,-
2025-12-31,8938,明安,69.5,69.9,68.9,69.9,259,-
2025-12-31,5205,中茂,32.95,32.95,32.5,32.95,6,-
2025-12-31,8933,愛地雅,5.82,6.0,5.82,6.0,214,-
2025-12-31,8928,鉅明,25.0,25.0,24.9,24.9,15,-
2025-12-31,6811,宏碁資訊,209.5,212.0,209.5,211.5,59,-
2025-12-31,1563,巧新,48.8,49.1,48.3,49.0,908,-
2025-12-31,3465,進泰電子,50.3,50.3,47.9,49.9,14,-
2025-12-31,5432,新門,182.5,195.0,181.0,183.5,738,-
2025-12-31,6865,偉康科技,47.25,48.1,46.5,48.05,37,-
2025-12-31,6198,瑞築,27.9,27.9,27.9,27.9,1,-
2025-12-31,4419,元勝,52.5,54.2,52.2,53.6,277,-
2025-12-31,8091,翔名,111.5,112.5,111.5,111.5,114,-
2025-12-31,6903,巨漢,226.5,237.0,223.5,237.0,3367,-
2025-12-31,6952,大武山,43.5,44.65,43.0,43.7,29,-
2025-12-31,7751,竑騰,794.0,819.0,774.0,776.0,933,-
2025-12-31,6999,瀚醫生技,36.28,36.75,36.75,36.75,0,-
2025-12-31,6968,萬達寵物,58.5,59.7,57.8,59.7,53,-
2025-12-31,6739,竹陞科技,745.0,780.0,743.0,747.0,685,-
2025-12-31,6997,博弘,91.9,91.9,90.9,90.9,2,-
2025-12-31,7703,銳澤,232.0,235.0,231.5,232.0,129,-
2025-12-31,6757,台灣虎航-創,65.1,65.6,64.3,64.5,1713,-
2025-12-31,6988,威力暘-創,13.7,13.8,13.45,13.6,49,-
2025-12-31,6854,錼創科技-KY創,135.0,135.0,132.0,134.5,186,-
2025-12-31,6794,向榮生技-創,91.4,91.4,88.0,89.6,52,-
2025-12-31,9105,泰金寶-DR,5.71,5.81,5.71,5.72,7574,-
2025-12-31,9103,美德醫療-DR,4.51,4.51,4.41,4.44,435,-
2025-12-31,3150,鈺寶-創,19.65,19.7,19.2,19.7,33,-
2025-12-31,6423,億而得-創,85.1,87.0,84.4,84.6,49,-
2025-12-31,6949,沛爾生醫-創,343.5,347.5,342.5,342.5,44,-
2025-12-31,6951,青新-創,74.7,74.8,73.5,73.8,43,-
2025-12-31,6969,成信實業*-創,29.8,29.8,29.8,29.8,1,-
2025-12-31,2258,鴻華先進-創,42.3,43.25,42.25,43.1,990,-
2025-12-31,8487,愛爾達-創,77.5,77.5,77.5,77.5,2,-
2025-12-31,2254,巨鎧精密-創,59.9,59.9,58.0,59.9,81,-
2025-12-31,6924,榮惠-KY創,70.6,71.0,67.4,71.0,34,-
2025-12-31,6902,GOGOLOOK-創,77.0,77.3,75.9,77.0,62,-
2025-12-31,6534,正瀚-創,90.5,90.5,89.6,90.0,15,-
2025-12-31,8162,微矽電子-創,35.8,36.45,35.8,36.05,35,-
2025-12-31,9136,巨騰-DR,8.16,8.26,8.16,8.21,1394,-
2025-12-31,6645,金萬林-創,18.1,18.15,17.7,17.7,57,-
2025-12-31,6771,平和環保-創,45.5,46.2,45.2,46.2,12,-
2025-12-31,9110,越南控-DR,3.2,3.2,3.14,3.14,3,-
2025-12-31,7714,創泓科技,166.0,172.5,162.5,166.5,1113,-
2025-12-31,7732,金興精密,40.5,40.5,40.0,40.2,28,-
2025-12-31,7715,裕山,30.4,30.7,29.8,30.7,26,-
2025-12-31,4749,新應材,834.0,897.0,830.0,877.0,4060,-
2025-12-31,7728,光焱科技,540.0,552.0,535.0,552.0,124,-
2025-12-31,2248,華勝-KY,48.85,48.9,48.75,48.75,7,-
2025-12-31,7736,虎山,90.0,90.0,90.0,90.0,4,-
2025-12-31,6936,永鴻生技,36.15,36.2,35.9,36.15,13,-
2025-12-31,7805,威聯通,749.0,774.0,749.0,760.0,305,-
2025-12-31,6925,意藍,93.0,93.0,88.0,88.3,149,-
2025-12-31,8383,千附,40.55,40.7,40.4,40.45,98,-
2025-12-31,5443,均豪,85.3,87.4,84.7,85.5,1465,-
2025-12-31,6187,萬潤,368.5,371.0,364.0,364.0,1448,-
2025-12-31,5348,正能量智能,18.1,18.15,17.0,17.95,29,-
2025-12-31,5314,世紀*,100.5,101.5,98.1,98.1,4211,-
2025-12-31,6208,日揚,45.6,45.6,45.15,45.2,35,-
2025-12-31,6240,松崗,18.65,19.25,18.65,19.2,8,-
2025-12-31,3521,鴻翊,14.8,15.25,14.05,14.05,785,-
